,City,City Temperature,City Latitude,City Cloudiness,City Humidity,City Wind
0,Chunskiy,37.15,56.08,64,90,6.22
1,Nuuk,33.8,64.17,88,86,1.12
2,Ushuaia,41.0,-54.81,0,44,3.36
3,Ribeira Grande,74.86,38.52,88,96,25.57
4,Taoudenni,85.66,22.68,48,25,7.23
5,Praia da Vitoria,73.4,38.73,75,94,21.32
6,Umba,44.89,66.69,92,100,3.76
7,Chuy,60.28,-33.69,88,96,9.35
8,Skibotn,39.2,69.39,75,80,2.24
9,Luanda,71.6,-8.83,40,88,5.82
10,Port Alfred,63.16,-33.59,0,94,13.49
11,Santa Barbara,72.7,34.42,1,73,11.41
12,Mana,32.95,43.52,0,84,2.24
13,Rikitea,71.26,-23.12,64,100,23.33
14,Vaini,71.98,15.34,88,99,1.07
15,Punta Arenas,37.4,-53.16,0,74,6.93
16,Belmonte,66.4,40.36,12,70,6.55
17,New Norfolk,55.4,-42.78,0,50,9.17
18,Dikson,39.76,73.51,92,96,21.54
19,Nikolskoye,48.2,59.7,75,70,11.18
20,Aden,82.06,12.79,0,100,13.15
21,Vestmannaeyjar,40.93,63.44,88,100,7.9
22,Salinopolis,81.07,-0.61,92,95,17.52
23,Cidreira,68.02,-30.17,88,97,4.43
24,Canon City,72.97,39.46,0,6,3.76
25,Ostrovnoy,39.04,68.05,92,98,13.15
26,Tuim,52.72,54.34,92,94,8.57
27,Luderitz,53.17,-26.65,0,84,13.49
28,Atuona,79.0,-9.8,0,100,9.91
29,Pangnirtung,27.88,66.15,8,83,5.21
30,Salamiyah,56.41,35.01,0,89,4.21
31,Moree,67.66,-29.46,0,79,6.22
32,Barrow,47.23,-38.31,88,72,10.8
33,Ilo,57.94,-17.65,8,95,2.75
34,Albany,67.39,42.65,90,90,5.82
35,Mabaruma,79.99,8.2,12,95,5.21
36,Tasiilaq,35.6,65.61,0,69,3.36
37,Jamestown,61.0,-33.21,0,61,6.44
38,Matay,70.0,28.42,0,68,10.47
39,Busselton,55.42,-33.64,44,100,8.79
40,San Andres,83.95,13.32,44,98,10.69
41,Victor Harbor,57.2,-35.55,75,71,13.87
42,Butaritari,83.59,3.07,0,100,4.88
43,Kodiak,64.04,39.95,1,38,2.75
44,Zalantun,50.74,48.0,0,60,4.09
45,Champasak,78.8,14.89,40,88,2.24
46,La Tuque,58.84,47.44,92,95,9.13
47,Leshukonskoye,42.64,64.9,92,97,12.26
48,Qaanaaq,19.15,77.48,36,100,8.01
49,Alofi,80.6,-19.06,40,65,12.75
50,Jalu,76.12,29.03,0,60,10.47
51,Mataura,45.79,-46.19,92,100,10.13
52,East London,67.57,-33.02,0,100,19.86
53,Port-Cartier,53.6,50.03,90,93,6.93
54,Aasiaat,35.71,68.71,88,100,13.38
55,Wilmington,77.2,39.75,90,96,11.41
56,Fortuna,75.2,38.18,40,73,11.41
57,Georgetown,78.8,6.8,0,94,4.7
58,Hobart,55.4,-42.88,0,50,9.17
59,Avera,80.56,33.19,90,66,13.87
60,Sorland,46.24,67.67,48,100,22.32
61,Avarua,82.4,-21.21,75,74,8.05
62,Aberdeen,64.94,45.47,1,36,9.17
63,Husavik,43.63,50.56,76,100,3.53
64,Tezu,64.87,27.93,88,95,1.63
65,Klaksvik,46.4,62.23,92,93,8.05
66,Puerto Ayora,75.2,-0.74,0,69,17.22
67,Port-Gentil,77.0,-0.72,40,94,6.93
68,Henties Bay,52.0,-22.12,8,100,3.42
69,Bluff,76.84,-23.58,0,52,9.01
70,Calabozo,81.52,8.92,20,73,5.21
71,Kruisfontein,54.61,-34.0,12,92,4.21
72,Saint Anthony,63.97,43.97,1,5,12.75
73,Saluzzo,51.8,44.64,0,81,2.24
74,Matamoros,87.21,25.87,1,67,11.41
75,Saint-Philippe,64.69,45.36,1,91,4.7
76,Kapaa,82.36,22.08,75,79,14.99
77,Maniitsoq,35.35,65.42,88,99,13.15
78,Port Elizabeth,77.13,39.31,1,93,8.79
79,Saskylakh,23.11,71.97,0,85,8.68
80,Yellowknife,32.0,62.45,75,96,17.22
81,Gravdal,53.6,59.79,92,71,16.11
82,Cape Town,57.2,-33.93,75,87,25.28
83,Murdochville,66.76,48.96,64,80,14.5
84,Mundargi,69.01,15.22,76,99,3.98
85,Nanortalik,37.87,60.14,92,95,6.67
86,Pisco,64.4,-13.71,90,77,13.87
87,Bhuj,71.71,23.25,0,96,7.0
88,Komsomolets,35.89,52.77,8,80,12.59
89,Narsaq,35.6,60.91,75,64,4.7
90,Manggar,81.34,-2.88,8,87,8.12
91,Baie-Comeau,65.05,49.22,90,93,10.29
92,Maun,78.19,-19.99,36,20,7.23
93,Westport,51.8,53.8,20,93,11.41
94,La Sarre,43.45,48.8,56,94,9.46
95,Salalah,73.4,17.01,0,73,4.7
96,Bethel,55.04,60.79,40,63,9.17
97,Geraldton,42.8,49.72,75,87,10.29
98,Hilo,78.44,19.71,75,63,16.11
99,Severo-Kurilsk,49.48,50.68,12,92,14.72
100,Lokosovo,55.15,61.13,0,69,11.03
101,Codrington,65.86,-28.95,8,91,3.42
102,Turukhansk,42.64,65.8,92,90,15.17
103,Lehi,68.61,40.39,1,4,5.82
104,Kaitangata,49.66,-46.28,76,81,12.82
105,Tiksi,32.47,71.64,88,97,11.25
106,Labytnangi,43.18,66.66,8,88,16.17
107,Airai,77.02,-8.93,0,50,2.42
108,Aracati,82.24,-4.56,0,59,11.59
109,Port Lincoln,56.86,-34.72,64,96,10.69
110,Arraial do Cabo,75.49,-22.97,0,82,26.35
111,Vila Velha,80.6,-3.71,0,74,14.99
112,Sur,84.94,22.57,0,87,3.42
113,Acari,72.97,-6.44,0,67,12.71
114,Lavrentiya,43.81,65.58,44,93,11.03
115,Moshupa,62.8,-24.78,0,65,1.97
116,Katsuura,64.4,33.93,75,100,4.7
117,Zhigansk,41.11,66.77,92,100,2.98
118,Ilulissat,32.0,69.22,68,100,10.29
119,Mar del Plata,43.0,-46.43,64,77,12.71
120,San-Pedro,76.21,4.75,92,94,7.9
121,Maine-Soroa,74.05,13.21,0,58,3.76
122,Yangambi,74.14,0.77,36,88,2.08
123,Fillan,46.4,63.6,40,81,23.04
124,Meulaboh,77.74,4.14,0,100,5.1
125,Richards Bay,65.5,-28.77,92,88,0.74
126,Tuktoyaktuk,30.2,69.44,75,74,16.11
127,Vung Tau,80.6,10.35,40,100,1.12
128,Jardim,70.0,-21.48,8,94,3.42
129,Dingle,82.87,11.0,32,72,9.69
130,Walvis Bay,48.2,-22.95,0,81,5.82
131,Ahipara,58.66,-35.17,68,78,11.03
132,Izhma,37.69,65.01,48,90,7.78
133,Bubaque,77.83,11.28,76,100,8.68
134,Ruidoso,67.8,33.33,12,87,3.36
135,Carnarvon,38.59,-30.97,8,56,3.98
136,Slave Lake,41.0,55.28,90,93,4.7
137,Carutapera,79.72,-1.2,48,82,11.81
138,Rome,55.4,41.89,0,58,5.82
139,Puerto Carreno,82.4,6.19,40,83,2.98
140,Chaman,47.14,30.92,0,56,3.98
141,Souillac,60.8,45.6,0,67,8.05
142,Saint George,62.6,39.45,75,39,14.99
143,Arkhipo-Osipovka,54.07,44.37,0,89,11.48
144,Ashtian,44.35,34.52,0,72,2.98
145,Mount Isa,86.0,-20.73,0,16,11.41
146,Hofn,43.36,64.25,20,100,5.44
147,Amalapuram,77.92,16.58,0,87,2.42
148,Thompson,41.0,55.74,75,60,5.82
149,Caravelas,76.84,-17.73,76,100,15.28
150,Montrose,62.6,-37.81,75,42,21.92
151,Upernavik,34.54,72.79,80,100,23.89
152,Mount Gambier,59.02,-37.83,24,88,4.32
153,Auki,74.23,12.18,0,79,9.46
154,Ballina,51.8,54.11,20,93,11.41
155,Hasaki,60.8,35.73,75,100,14.99
156,Port Macquarie,64.4,-31.43,40,59,4.7
157,Ambilobe,70.81,-13.19,0,68,14.05
158,Bronnoysund,46.4,65.46,92,61,9.17
159,Bredasdorp,62.6,-34.53,68,59,4.7
160,Hobyo,76.48,5.35,0,88,16.28
161,Seoul,63.75,37.57,0,52,8.05
162,Yulara,77.0,-25.24,0,9,6.93
163,Kutum,73.96,14.2,48,50,7.78
164,Lagoa,77.0,37.14,0,73,17.22
165,Cabo San Lucas,83.95,22.89,0,100,7.0
166,Faanui,78.37,-16.48,36,100,12.82
167,Pevek,44.35,69.7,76,92,13.27
168,Kavieng,86.29,-2.57,0,96,10.69
169,Gushikawa,83.86,26.35,75,79,27.51
170,Rawson,43.54,-43.3,68,56,9.91
171,Alice Springs,77.0,-23.7,0,8,8.05
172,Srednekolymsk,33.19,67.46,88,84,3.2
173,Ponta do Sol,78.1,-20.63,76,43,6.22
174,Teahupoo,80.6,-17.83,75,57,5.82
175,Nizhnyaya Omka,46.96,55.43,0,78,8.01
176,Pullman,74.7,46.73,1,4,8.05
177,Bilma,74.86,18.69,0,27,5.77
178,Sao Filipe,78.82,14.9,80,96,11.25
179,Strezhevoy,46.4,60.73,0,87,6.71
180,Khatanga,27.79,71.98,44,86,18.3
181,Tak Bai,76.91,6.26,75,88,3.36
182,Kavaratti,82.96,10.57,88,100,11.03
183,Igarka,44.53,67.47,92,95,19.53
184,Mahebourg,71.6,-20.41,20,73,11.41
185,Otjimbingwe,56.59,-22.35,0,88,2.64
186,Olinala,84.67,17.83,12,33,1.97
187,Surenavan,59.0,39.75,8,62,1.12
188,Ancud,48.67,-41.87,92,71,4.21
189,Palmer,57.2,-34.85,75,71,13.87
190,Constitucion,71.6,23.99,90,56,9.17
191,Phan Thiet,78.37,10.93,0,100,5.66
192,Tuatapere,45.34,-46.13,92,100,7.56
193,Den Helder,62.04,52.96,8,87,8.05
194,Torbay,44.6,47.66,75,87,9.17
195,Aron,65.95,24.38,0,84,3.53
196,Dehloran,68.65,32.69,0,37,2.64
197,Caranavi,67.66,-15.83,24,87,2.19
198,Upington,51.8,-28.46,0,37,3.36
199,Qaqortoq,35.6,60.72,75,64,4.7
200,Broome,54.7,52.47,0,87,5.82
201,Esperance,80.6,10.24,20,88,4.99
202,Burnie,55.42,-41.05,0,92,13.82
203,Nome,76.68,30.04,40,88,5.99
204,Necochea,47.41,-38.55,88,83,11.7
205,Mayor Pablo Lagerenza,86.02,-19.93,12,49,8.23
206,Udachnyy,33.55,66.42,92,89,3.98
207,Quatre Cocos,71.6,-20.21,20,73,11.41
208,Grindavik,39.2,63.84,40,93,5.82
209,Cairo,77.0,30.05,0,69,4.7
210,Longyearbyen,24.8,78.22,75,62,14.99
211,Lorengau,84.4,-2.02,8,99,5.1
212,Sokoto,77.11,13.06,0,70,5.44
213,Bouafle,44.96,48.96,0,86,3.31
214,Cherskiy,35.26,68.75,56,77,3.31
215,Provideniya,50.0,64.42,75,76,13.42
216,Huarmey,64.42,-10.07,0,66,3.31
217,Talaya,47.86,55.79,20,87,5.66
218,Egvekinot,42.01,66.32,92,96,4.88
219,Orocue,83.68,4.79,68,60,4.88
220,Makamba,70.81,-4.13,68,39,7.34
221,Manga,77.74,11.67,20,78,6.67
222,Castro,46.06,-42.48,92,82,2.08
223,Hirara,85.12,24.8,75,79,20.8
224,General Roca,48.2,-39.03,90,87,6.93
225,Touros,77.02,-5.2,64,86,16.84
226,Gimbi,49.93,8.81,32,77,2.75
227,Monterey,61.84,36.6,40,80,10.29
228,Aykhal,33.91,65.95,88,93,5.44
229,Antalaha,71.35,-14.9,92,95,8.23
230,Karratha,82.42,-20.74,0,19,10.69
231,Tiarei,80.6,-17.53,75,57,5.82
232,Comodoro Rivadavia,44.6,-45.87,0,65,11.41
233,Port Hardy,62.6,50.7,40,55,13.87
234,Iqaluit,33.8,63.75,20,69,16.11
235,Vao,48.85,59.1,0,69,19.86
236,Lebu,55.4,8.96,20,76,6.93
237,Viedma,44.89,-40.81,64,65,9.69
238,Along,65.41,28.17,100,97,1.74
239,Ust-Koksa,22.12,50.27,0,77,2.53
240,Carballo,63.41,43.21,0,82,2.08
241,Ugoofaaru,81.79,5.67,88,100,14.72
242,Hithadhoo,80.71,-0.6,88,100,11.81
243,Mehamn,30.94,71.03,8,91,3.98
244,Omboue,77.11,-1.57,44,100,9.24
245,Khash,48.76,28.22,0,82,2.64
246,Sao Gabriel da Cachoeira,78.1,-0.13,64,88,1.97
247,Kahului,85.8,20.89,40,67,11.41
248,Sorong,81.07,-0.86,44,100,12.15
249,Atascocita,77.18,30.0,40,83,4.7
250,Ornskoldsvik,43.81,63.29,0,60,28.86
251,Yeppoon,77.0,-23.13,20,50,5.82
252,Tabou,78.64,4.42,88,100,13.04
253,Minab,82.4,27.15,0,83,4.7
254,Morris,59.31,41.36,1,61,4.7
255,Arman,48.2,59.7,8,66,1.41
256,Marawi,70.99,8.0,76,100,3.87
257,Loei,75.2,17.49,20,100,2.24
258,Karasjok,41.0,69.47,80,80,13.87
259,Aldan,48.13,58.61,0,67,7.45
260,Padang,81.25,-0.92,8,100,3.09
261,Estevan,56.3,49.14,1,54,8.05
262,Mansoa,74.59,12.07,88,97,5.1
263,Varnamo,52.66,57.19,20,76,11.41
264,Orchard Homes,71.06,46.86,75,4,13.87
265,Sao Joao da Barra,75.22,-21.64,0,96,30.04
266,Yinchuan,49.48,38.48,92,96,4.65
267,Wagar,77.11,31.44,64,92,2.19
268,Mata,78.8,22.63,75,83,14.38
269,Hamilton,77.0,32.3,75,69,11.41
270,Leningradskiy,40.39,69.38,32,97,15.39
271,Yeroham,62.89,30.99,0,95,2.19
272,Mezhdurechensk,50.02,53.69,100,96,2.42
273,Komsomolskiy,42.91,67.55,68,96,12.15
274,Mumford,75.22,5.26,36,93,7.67
275,Aklavik,32.0,68.22,75,96,5.82
276,Hermanus,54.7,-34.42,32,78,8.79
277,Contamana,81.7,-7.35,0,77,2.42
278,Concarneau,56.05,47.88,0,76,5.82
279,Atar,80.62,20.52,0,27,6.44
280,Muros,64.4,42.77,0,77,2.98
281,Chokurdakh,35.8,70.62,92,92,14.27
282,Dodola,69.46,10.12,12,98,3.76
283,Kyshtovka,44.17,56.56,0,86,4.99
284,Santiago,58.35,-33.44,75,71,10.29
285,Beyneu,60.01,45.32,20,45,6.67
286,Sanger,96.55,36.71,40,15,8.05
287,Soma,57.2,37.8,75,93,11.41
288,Banjarmasin,77.0,-3.32,0,78,4.7
289,Kurchum,39.13,48.57,0,93,4.76
290,Sambava,73.51,-14.27,92,100,14.94
291,Beloha,59.56,-25.17,0,83,3.09
292,Bouake,72.07,7.69,92,99,5.1
293,Buraydah,89.6,26.33,0,25,2.86
294,Isangel,66.76,-19.55,100,100,19.98
295,Bathsheba,82.4,13.22,20,78,18.34
296,Maceio,71.6,-9.67,20,94,4.7
297,Nouadhibou,82.4,20.93,0,51,4.7
298,Sechura,70.54,-5.56,0,83,12.71
299,Hunterville,65.23,-26.77,64,43,3.87
300,Khandyga,42.01,62.65,64,81,4.76
301,Rochester,54.03,44.02,1,40,6.93
302,Santiago de Cao,62.6,-7.96,0,88,8.05
303,Bambous Virieux,71.6,-20.34,20,73,11.41
304,Cayenne,80.6,4.94,0,88,9.17
305,San Patricio,69.1,-26.98,92,96,3.65
306,Hoquiam,72.57,46.98,1,67,9.17
307,Saint-Georges,63.88,46.12,92,100,8.68
308,Leo,73.15,11.1,20,96,4.21
309,Bandarbeyla,77.29,9.49,76,98,17.52
310,Bayji,71.44,34.93,0,27,5.66
311,Marsa Matruh,64.69,31.35,8,89,2.75
312,Alihe,48.31,50.57,0,82,2.42
313,Norman Wells,33.8,65.28,90,74,6.93
314,San Cristobal,59.0,-0.39,75,62,3.36
315,Nevel,48.67,56.02,92,96,33.4
316,Bon Air,77.13,37.52,90,88,6.93
317,Palora,62.26,-1.7,8,100,1.74
318,Rutana,70.81,-3.93,68,39,7.34
319,Nelson Bay,59.0,-32.72,20,77,5.82
320,Cairns,77.0,-16.92,40,69,11.41
321,Toamasina,66.2,-18.17,40,93,1.52
322,Sioux Lookout,43.23,50.1,90,65,9.17
323,Diamantina,71.44,-18.24,0,45,8.46
324,Dunedin,49.39,-45.87,32,71,10.25
325,Kamaishi,53.6,39.28,75,100,6.93
326,Ukiah,96.98,39.15,1,1,5.82
327,Verkhniy Mamon,35.26,50.17,0,87,8.01
328,Keti Bandar,80.17,24.14,0,99,14.61
329,Vrangel,61.81,42.73,64,100,9.91
330,Roald,47.17,62.58,92,70,13.87
331,Coquimbo,55.4,-29.95,75,87,8.05
332,Kieta,79.99,-6.22,12,99,12.71
333,Sept-Iles,53.6,50.2,90,93,6.93
334,Tuy Hoa,76.39,13.08,0,100,5.99
335,Tanabe,64.4,33.73,75,100,5.82
336,Dukat,38.05,42.44,0,61,3.98
337,Rudnogorsk,39.4,57.27,92,100,7.11
338,Linxia,40.12,35.6,92,100,4.54
339,Bedele,54.34,8.46,64,90,2.42
340,Daru,69.64,7.99,92,99,3.98
341,Corum,44.26,38.8,88,95,12.26
342,San Vicente,81.5,13.64,20,88,4.7
343,Matara,50.29,-13.74,80,48,1.74
344,Ust-Nera,26.26,64.57,88,98,2.64
345,Makakilo City,83.19,21.35,40,87,5.82
346,Victoria,82.4,5.28,75,88,3.36
347,Dawei,74.86,14.07,100,99,1.52
348,Vostok,49.48,46.45,0,77,2.98
349,Kadhan,73.51,24.48,0,96,8.01
350,Vila Franca do Campo,73.4,37.72,20,83,12.75
351,Minudasht,59.29,37.23,0,84,4.54
352,Port Moresby,84.2,-9.47,40,54,23.04
353,Barra,81.61,-11.09,20,37,12.15
354,Guerrero Negro,79.81,27.97,0,52,11.7
355,High Rock,85.57,26.63,24,96,15.5
356,Kudahuvadhoo,78.46,2.67,80,100,18.3
357,Mangai,77.02,-4.07,24,77,3.98
358,Buchanan,77.0,5.88,75,94,5.82
359,Yatou,77.0,3.63,75,100,2.24
360,Porto Novo,69.8,-23.68,40,83,3.36
361,Soanierana Ivongo,71.71,-16.92,92,100,5.32
362,Poum,37.78,41.28,0,52,3.09
363,Riyadh,80.6,24.63,0,15,3.76
364,Acapulco,84.2,16.86,40,70,5.82
365,Calvinia,36.79,-31.47,8,79,2.64
366,Pacific Grove,61.84,36.62,40,80,10.29
367,Meiganga,61.81,6.52,12,94,2.42
368,North Bend,65.14,43.41,1,60,18.34
369,Talcahuano,53.6,-36.72,90,87,6.93
370,Doha,89.6,25.29,0,66,4.7
371,Almaznyy,34.63,48.03,0,77,5.66
372,Chara,62.6,39.42,75,39,14.99
373,Bystryy Istok,44.17,52.37,44,80,3.42
374,Moron,78.8,10.49,40,74,2.64
375,Wundanyi,66.76,-3.4,92,97,3.76
376,Iranshahr,77.0,27.21,0,44,4.7
377,Linjiang,45.88,41.81,0,82,3.76
378,Havre-Saint-Pierre,55.4,50.23,90,100,5.82
379,Itarema,78.01,-2.92,0,79,16.51
380,Gat,78.8,14.69,0,94,2.24
381,Berlevag,30.49,70.86,0,100,4.21
382,Kiunga,77.56,-6.12,88,84,3.09
383,Balyaga,37.96,51.15,92,97,4.99
384,Les Escoumins,64.06,48.35,92,97,9.01
385,Tekeli,37.51,44.86,0,61,3.31
386,Imeni Poliny Osipenko,48.85,52.42,0,71,3.87
387,Abu Dhabi,85.06,24.47,0,70,3.36
388,Gavle,50.47,60.67,0,66,15.28
389,Chukhloma,41.47,58.76,92,100,26.69
390,Alta Floresta,79.36,-9.87,48,81,2.42
391,San Benito Abad,78.73,8.93,32,98,5.99
392,Tazovskiy,53.44,67.47,92,83,15.05
393,Beringovskiy,46.33,63.05,92,95,25.9
394,Fare,78.01,-16.7,68,100,13.27
395,Te Anau,45.79,-45.41,68,82,3.65
396,Kutoarjo,73.24,-7.72,80,97,4.65
397,Skjervoy,41.74,70.03,56,100,20.54
398,Scarborough,59.61,54.28,8,93,5.82
399,Shimoda,62.29,34.7,75,88,26.4
400,Sweetwater,56.12,32.47,90,100,4.7
401,Shenjiamen,77.92,29.96,64,86,23.0
402,Sistranda,46.4,63.73,40,81,23.04
403,Bekabad,62.6,40.22,75,59,8.95
404,Jutai,80.17,-1.71,56,78,7.23
405,Coos Bay,65.14,43.37,1,60,18.34
406,Rafaela,73.42,-31.25,88,70,8.01
407,Sitka,62.17,37.17,0,48,7.9
408,Bam,57.13,29.11,0,50,4.43
409,Basco,57.51,40.33,1,82,3.36
410,Lompoc,68.18,34.64,1,75,14.99
411,Broken Hill,73.87,-31.97,0,36,12.15
412,Brigantine,75.56,39.41,20,93,9.17
413,Panzhihua,61.0,26.59,92,100,2.64
414,Moerai,71.98,-22.43,92,100,9.91
415,Laguna,96.01,27.52,0,30,4.21
416,Mbandaka,75.04,0.05,48,92,3.76
417,Huanren,50.56,41.26,0,88,3.09
418,Molteno,37.96,-31.4,0,54,3.31
419,Loanda,70.36,-22.93,64,95,6.44
420,Bad Lauterberg,45.34,51.63,36,70,6.22
421,Hambantota,78.01,6.12,64,100,9.91
422,Middelburg,71.89,-25.77,68,24,10.8
423,Mackay,46.4,53.65,90,93,11.41
424,Sisimiut,28.15,66.94,68,99,2.42
425,Tiznit,71.44,29.7,24,81,1.86
426,Garden City,75.45,40.73,75,100,17.22
427,Leh,2.95,34.16,12,73,1.86
428,Trinidad,60.64,-33.52,76,80,15.28
429,Candolim,76.75,15.52,64,100,2.75
430,Lata,49.66,30.78,0,73,2.64
431,Kolobrzeg,59.29,54.18,92,95,20.87
432,Nioro,79.36,13.79,20,80,7.67
433,Kondopoga,44.6,62.21,88,93,11.18
434,Ngunguru,58.66,-35.62,48,98,9.69
435,Eureka,52.81,40.8,90,96,4.7
436,Cangzhou,61.45,38.3,12,64,7.0
437,Gazli,54.16,40.13,0,44,4.43
438,Normandin,51.8,48.84,75,66,19.46
439,Bowen,74.14,-20.01,0,95,11.14
440,Cortez,75.02,37.35,1,5,10.29
441,Nsoko,62.71,-27.07,20,77,3.42
442,Kharan,55.51,28.58,0,66,1.97
443,Pandan,81.7,11.72,32,100,18.07
444,Saint-Joseph,57.07,43.56,0,76,4.7
445,Nichinan,67.84,31.65,75,88,18.34
446,Manokwari,78.73,-0.87,64,100,1.97
447,Naze,77.0,5.43,75,94,2.86
448,Taltal,56.5,-25.41,0,81,0.4
449,Shemordan,41.56,56.19,68,83,9.01
450,Lahij,65.32,13.06,0,99,2.75
451,Vestmanna,46.4,62.16,92,93,8.05
452,Cabedelo,77.0,-6.97,40,78,8.05
453,Masumbwe,70.72,-3.65,0,46,11.48
454,Sidi Ali,69.19,36.1,0,76,4.65
455,Pemberton,53.26,-34.44,44,95,5.1
456,Wheatley,60.22,42.09,1,57,5.82
457,Nadym,54.61,65.53,76,81,11.03
458,Wajir,75.04,1.75,8,75,12.71
459,Kirakira,78.46,-10.46,92,100,32.17
460,Maturin,83.77,9.75,32,67,7.78
461,Naliya,72.61,23.26,0,93,6.67
462,Nemuro,57.2,43.32,75,82,4.7
463,Vardo,70.12,39.62,75,100,8.05
464,Mangrol,67.12,25.33,0,82,3.2
465,Ciro Marina,69.82,39.37,0,100,26.35
466,Ardakan,69.8,32.31,0,21,2.24
467,Arlit,74.77,18.74,0,21,4.88
468,Gamba,24.73,28.28,56,84,1.97
469,Bulawayo,69.28,-20.16,0,29,8.23
470,Kurilsk,54.97,45.23,68,97,6.22
471,Mastic Beach,72.43,40.77,90,100,12.75
472,Ginda,49.66,30.69,0,73,2.64
473,Anadyr,50.0,64.73,90,87,22.37
474,Olinda,78.8,-2.03,20,74,13.87
475,Powell River,65.71,49.84,75,63,9.17
476,Manaure,84.13,11.78,0,93,23.89
477,Sturgeon Falls,50.0,46.36,75,93,8.05
478,Voskresenskoye,38.14,56.84,24,77,9.24
479,Saint-Augustin,62.42,44.83,0,63,9.17
480,Virtsu,53.6,58.57,0,76,9.17
481,Hokitika,52.54,-42.72,24,91,6.55
482,Veraval,47.61,49.65,0,75,4.7
483,Saquena,80.8,-4.67,20,85,3.2
484,Casale Monferrato,49.15,45.14,0,81,2.24
485,Tual,80.26,-5.67,56,99,15.28
486,Haines Junction,46.51,60.75,76,46,2.42
487,Samarai,78.1,-10.62,64,99,15.95
488,Amahai,80.17,-3.31,88,100,11.48
489,Ozinki,41.92,51.2,36,92,7.45
490,Tigil,47.68,57.8,48,63,9.69
491,Orje,51.8,59.48,0,50,10.29
492,Morbegno,44.47,46.13,0,81,4.7
493,Santo Augusto,65.41,-27.85,8,95,2.86
494,Magadan,48.2,59.56,0,66,5.77
495,Tocopilla,58.03,-22.09,8,100,3.87
496,Mecca,70.36,21.43,0,65,2.42
497,Ouesso,74.05,1.61,76,95,2.42
498,Araouane,79.81,18.9,0,32,1.19
499,Biga,60.8,40.23,75,63,24.16
500,Ketchikan,54.84,55.34,90,93,9.17
501,Road Town,82.71,18.42,40,78,10.29
502,Orslev,57.2,55.04,92,87,18.34
503,Mhango,65.68,-2.75,44,56,11.7
504,Staraya Vichuga,42.91,57.27,88,74,20.54
505,Pucallpa,78.8,-8.38,75,78,2.24
506,Snasa,38.5,64.25,92,99,9.13
507,Puerto Baquerizo Moreno,71.6,-0.9,75,88,14.99
508,Buala,79.72,-8.15,68,100,13.94
509,Eyl,75.49,7.98,0,92,17.52
510,Dubbo,64.4,-32.25,0,45,10.29
511,Yar-Sale,49.21,66.83,0,92,19.3
512,Hit,70.81,33.64,0,25,2.64
513,Tokur,44.44,53.13,0,68,3.42
514,Kita,61.02,35.76,75,88,8.05
515,Prince Rupert,53.6,54.32,90,100,8.05
516,Pontianak,77.0,-0.02,20,94,4.21
517,Ambalavao,50.29,-21.83,36,98,2.19
518,Sovetskaya,48.22,44.78,56,86,2.86
519,Khani,60.8,41.96,40,93,2.24
520,Tilichiki,40.39,60.47,92,100,10.58
521,Zhezkazgan,48.2,47.8,0,66,8.95
522,Stutterheim,45.16,-32.57,0,96,2.75
523,Adrar,82.4,27.87,20,37,25.28
524,Harper,72.14,30.3,90,73,14.99
525,Praya,80.6,-8.71,20,74,5.77
526,Kupang,86.0,-10.16,20,48,8.05
527,Salta,72.84,-24.79,20,68,2.24
528,High Level,44.6,58.52,40,52,10.29
529,Paamiut,39.22,61.99,92,98,35.41
530,Litovko,49.93,49.24,0,76,2.98
531,Pokhara,59.2,28.21,88,64,3.2
532,College,49.69,64.86,90,61,10.29
533,Elko,75.92,40.83,1,4,11.41
534,Suwannaphum,80.6,15.61,20,88,3.36
535,Soyo,71.62,-6.13,36,94,5.1
536,Mezen,43.09,65.85,92,99,11.25
537,Bryan,75.34,30.67,75,76,5.82
538,Tarabuco,51.55,-19.18,0,85,2.53
